Audience_id,Date_id,Canal_id,Plateforme_id,campagne_id,Nb_visiteurs_uniques,Nb_pages_vues,Taux_rebond,Nb_abonnes_reseaux_sociaux,Taux_interaction_RS,Nb_abandons_lecture,Duree_session
1,73,3,3,7,8103,8594,62.82,1122,6.79,350,9.22
2,47,2,3,4,1880,11383,66.48,4542,9.92,303,8.21
3,77,5,3,4,9124,10954,58.35,291,3.88,84,0.88
4,29,3,2,6,6990,2543,71.47,680,9.27,6,8.77
5,26,4,4,3,1658,128,36.07,81,2.54,325,6.74
6,95,5,1,2,5698,6092,64.5,652,9.5,262,4.54
7,12,3,1,6,9370,4425,23.34,2058,2.92,178,4.14
8,81,2,4,4,1209,14588,40.95,523,8.97,320,8.12
9,91,3,3,7,4472,9667,42.81,2117,8.32,236,8.11
10,20,4,3,2,8147,5008,29.78,1749,3.98,150,2.96
11,45,1,1,2,4159,13740,79.68,983,5.04,313,9.79
12,15,2,1,10,2777,11734,26.54,2409,4.51,193,2.17
13,40,1,2,1,1582,18444,20.09,3361,1.64,23,5.43
14,91,4,3,6,2970,16520,25.79,4871,0.57,370,3.1
15,91,3,1,4,6676,3693,51.3,3256,2.93,18,6.83
16,84,2,2,9,4701,12361,18.11,2259,9.4,49,3.76
17,1,5,3,1,1786,19119,87.93,4963,3.61,373,9.72
18,1,5,4,8,4753,13426,76.17,2964,6.43,340,7.21
19,64,5,5,7,5053,13943,73.76,4525,5.15,329,4.23
20,77,5,4,4,6861,6600,70.52,963,2.86,104,6.0
21,60,2,5,8,6033,6618,79.48,1142,3.59,32,9.28
22,5,3,4,3,7437,6306,73.23,3133,7.81,272,8.31
23,67,3,5,9,8829,10960,21.85,4404,6.76,303,7.95
24,6,5,3,6,154,3941,29.67,4061,3.73,174,4.4
25,17,1,5,5,5457,825,19.77,3910,1.35,469,9.73
26,45,4,2,7,774,14568,81.08,4244,7.45,172,4.26
27,80,4,2,8,890,14776,45.66,3235,8.93,37,4.62
28,29,2,3,9,5227,17903,87.2,4004,3.36,355,5.92
29,61,4,5,10,591,16708,13.02,26,5.06,65,8.65
30,87,5,2,9,8890,3283,49.57,3722,2.72,397,4.41
31,20,1,5,10,6321,16543,75.42,1123,1.49,129,5.32
32,11,3,5,5,9322,15176,21.99,776,5.79,158,2.97
33,80,2,1,10,7606,3373,50.74,575,6.2,435,4.25
34,71,3,3,6,9917,13205,36.25,926,0.03,374,7.16
35,84,2,4,7,9918,11710,58.14,2885,7.92,349,4.18
36,89,5,2,4,4384,9555,64.06,2609,5.1,236,1.88
37,17,3,2,1,2412,2485,19.92,4028,6.62,29,8.04
38,5,2,3,2,4168,13294,18.49,2821,3.75,325,2.4
39,28,2,1,8,4121,6348,49.32,4040,9.62,117,3.26
40,53,5,1,7,5599,3386,18.46,4498,1.63,244,1.06
41,24,5,5,3,4693,9536,49.24,1540,3.23,166,7.79
42,39,2,3,9,3366,11151,40.36,4531,5.8,479,8.23
43,85,1,1,8,3780,7463,80.65,1771,1.84,237,4.26
44,41,5,3,7,1343,16510,85.35,4355,0.56,493,9.74
45,67,2,5,1,5775,11843,29.11,2310,8.06,181,0.5
46,3,2,3,1,5722,17553,31.07,3390,7.68,431,3.93
47,74,4,5,2,1976,14426,62.58,4122,9.1,382,5.36
48,54,2,3,3,1555,14787,63.63,4175,7.25,22,3.56
49,55,5,2,2,5640,18710,76.76,2786,3.17,212,1.25
50,88,3,1,2,1340,2388,30.55,731,5.59,314,1.57
51,64,2,2,2,6686,7476,31.0,947,9.38,161,1.76
52,38,5,4,3,4802,13520,56.41,4107,1.46,156,5.29
53,93,2,4,10,9123,12187,79.69,3681,5.41,437,3.68
54,81,2,1,3,7836,6894,24.26,3325,3.77,248,9.08
55,43,1,3,3,7954,7535,17.11,4348,0.74,221,5.91
56,5,4,5,3,1405,17399,38.04,4171,4.8,304,9.22
57,90,5,2,8,2350,18147,69.73,4355,4.92,26,4.2
58,63,5,2,1,8127,1183,78.03,3643,3.68,88,6.03
59,82,5,1,6,3081,630,37.42,3756,5.6,174,3.21
60,47,3,1,1,2297,16270,30.67,4971,0.22,254,2.72
61,38,5,3,6,8224,18124,23.53,221,8.99,195,7.04
62,94,2,4,5,7078,14139,18.89,3752,3.69,30,7.83
63,25,3,5,1,1656,10173,56.38,2582,3.21,147,9.33
64,86,1,4,5,2342,4569,43.84,2912,0.86,364,2.95
65,4,5,5,4,7486,7716,87.8,3108,4.27,375,5.19
66,43,1,2,8,4940,13782,65.7,231,3.34,17,8.99
67,77,5,5,8,4994,11453,43.28,114,1.26,238,3.12
68,82,3,4,10,6006,3027,23.94,4861,9.69,36,7.38
69,6,2,1,10,9897,1646,18.19,2833,0.08,45,2.27
70,81,3,2,9,9212,16211,67.93,4849,0.79,137,9.72
71,48,2,1,8,9890,9679,87.4,4295,1.07,154,1.93
72,98,1,4,7,6640,5937,32.59,971,9.01,221,2.29
73,85,5,1,3,3226,5179,23.98,1665,6.06,440,1.75
74,77,2,5,10,3775,9871,61.5,1686,9.05,102,7.4
75,100,3,4,1,6006,16375,54.41,1103,8.32,358,9.93
76,22,4,2,8,3214,583,10.95,284,7.53,63,4.9
77,46,3,5,5,1501,2009,84.43,1766,1.34,331,4.97
78,38,1,5,6,1033,3084,12.34,1888,1.19,251,8.81
79,70,3,3,3,620,3777,64.78,4482,7.02,150,8.34
80,58,3,5,6,3334,10513,51.42,3577,4.87,383,4.75
81,69,1,1,6,1956,19716,50.9,2343,1.72,9,4.58
82,39,5,2,2,3346,10465,85.51,4683,0.49,212,4.9
83,52,5,4,1,5469,10831,58.43,3577,0.95,400,8.02
