Capital_id,Date_id,Employe_id,Service_id,Formation_id,Contrat_id,Effectif_total,Taux_turnover,Nb_recrutements,Taux_satisfaction_agent,Taux_absenteisme,Nb_formation
1,4,181,1,45,4,395,1.73,19,94.05,0.28,8
2,68,129,1,18,1,136,9.44,5,90.21,9.59,10
3,68,267,1,47,3,302,5.96,7,88.37,6.62,6
4,95,293,1,22,3,433,1.28,20,60.88,7.71,8
5,14,79,2,6,3,64,6.35,11,99.8,9.8,7
6,21,204,3,32,1,438,18.94,6,79.06,4.55,2
7,38,256,2,16,4,308,9.17,0,67.09,9.39,0
8,4,26,2,13,3,58,17.95,0,76.87,0.06,2
9,74,263,5,9,4,159,10.68,3,61.88,3.4,2
10,83,227,4,40,3,254,8.97,11,76.59,12.56,10
11,68,198,2,9,4,224,8.92,18,94.92,3.67,3
12,62,215,5,25,3,286,1.12,17,80.69,9.34,8
13,18,251,1,2,4,366,13.65,1,60.13,13.59,1
14,36,34,5,50,4,310,11.31,1,97.31,1.92,7
15,72,273,2,4,5,350,19.71,18,73.43,0.03,1
16,32,176,4,46,5,170,11.15,2,92.02,12.57,5
17,23,197,2,3,1,337,19.92,9,74.35,1.21,2
18,9,18,2,8,2,92,11.15,7,82.25,4.02,2
19,38,75,2,49,4,265,1.16,2,72.43,0.87,9
20,85,49,2,45,1,479,4.62,0,81.73,12.36,10
21,20,242,4,2,5,235,15.92,17,67.35,1.12,3
22,51,276,2,9,2,291,17.31,4,88.25,12.94,3
23,92,240,1,50,5,277,10.53,7,67.13,3.82,5
24,35,75,4,14,4,224,3.27,2,68.26,2.82,0
25,21,284,2,6,3,405,1.21,9,66.06,1.41,6
26,74,128,4,40,1,129,15.46,20,91.77,14.57,9
27,52,47,4,25,2,414,8.9,19,77.28,5.03,7
28,33,68,3,20,4,333,8.47,20,96.1,11.9,1
29,65,29,5,24,2,355,18.25,13,95.5,4.98,9
30,57,56,3,7,2,161,5.64,8,60.92,3.93,10
31,43,132,1,43,4,295,5.06,0,90.78,10.4,5
32,48,69,5,38,1,353,19.53,9,92.2,10.43,0
33,31,118,1,46,4,469,0.41,6,76.64,2.01,9
34,98,178,5,16,4,200,3.09,17,72.73,0.43,2
35,70,237,2,24,5,457,5.94,12,79.23,3.2,0
36,79,127,3,45,1,178,12.84,15,88.44,4.2,3
37,25,242,3,42,4,479,18.42,13,62.98,6.77,9
38,11,187,4,1,1,480,5.83,12,61.86,6.21,6
39,49,266,1,10,2,306,7.27,20,69.1,12.08,10
40,94,163,1,5,3,269,17.75,2,78.26,7.06,9
41,71,135,3,17,3,97,5.91,20,68.18,12.68,0
42,76,39,1,35,2,450,1.01,8,73.81,1.78,7
43,47,147,3,49,4,306,11.82,14,92.13,1.91,7
44,35,221,4,38,3,112,14.34,15,94.38,4.45,6
45,87,228,1,4,3,325,14.96,15,93.65,2.63,3
46,36,204,5,45,4,498,14.11,18,95.68,3.6,4
47,70,59,5,17,1,327,3.18,15,91.44,8.28,6
48,64,79,3,42,5,221,12.2,6,75.93,5.37,6
49,49,150,2,15,3,254,14.1,3,84.49,12.82,10
50,22,155,5,25,4,489,18.76,0,70.74,6.34,7
51,30,174,1,23,2,215,17.84,8,86.64,12.23,6
52,64,44,2,6,2,71,16.79,14,70.0,10.04,3
53,20,80,2,29,3,316,18.59,5,85.8,9.48,5
54,6,154,2,4,1,180,5.78,11,82.85,14.62,0
55,44,215,3,24,3,164,2.7,10,94.31,5.07,8
56,68,203,5,18,2,455,13.19,18,72.14,12.05,1
57,48,129,4,28,4,459,8.29,13,99.81,5.81,6
58,60,122,5,37,3,174,13.82,20,90.74,7.41,4
59,35,43,1,25,5,83,12.28,0,61.55,10.27,0
60,8,19,2,29,3,169,15.11,10,84.91,5.06,1
61,54,101,4,43,5,335,19.07,18,98.62,9.31,4
62,95,283,4,33,2,484,14.73,4,87.12,0.24,8
63,94,68,4,33,2,290,4.18,7,81.84,2.98,8
64,61,152,1,27,1,382,4.77,4,83.57,6.99,3
65,75,49,3,4,4,92,18.09,4,63.64,6.27,8
66,65,177,5,30,1,345,2.38,12,93.74,7.76,8
67,84,51,1,37,5,333,14.89,13,87.93,10.28,9
68,59,30,2,9,5,96,13.98,14,82.95,10.04,2
69,63,227,3,47,5,457,6.12,19,80.63,7.23,10
70,86,209,2,23,2,109,10.98,7,74.54,14.23,10
71,19,278,5,46,2,375,11.85,15,93.07,6.1,8
72,52,104,1,3,3,221,15.88,4,84.45,14.63,9
73,90,289,3,24,1,456,19.73,13,72.93,6.21,7
74,44,41,5,34,5,353,11.18,8,98.6,6.42,0
75,87,44,2,4,3,361,1.38,13,73.09,1.4,2
76,34,19,3,43,3,448,11.42,19,79.06,9.6,6
77,43,8,5,33,2,103,18.24,17,87.61,9.6,6
78,71,278,3,19,3,82,16.51,7,65.86,0.3,2
79,18,113,2,23,2,363,15.03,18,99.24,5.14,4
80,97,131,5,14,3,77,6.94,7,75.67,10.8,4
81,51,98,3,30,5,253,8.92,12,73.91,12.96,2
82,15,231,1,18,1,395,18.96,10,80.99,4.98,2
83,89,247,3,44,3,175,19.4,8,92.19,8.53,5
84,22,132,4,13,3,397,13.51,4,91.39,10.15,7
85,14,21,3,2,1,445,19.66,11,90.95,3.06,3
86,72,120,2,9,5,96,15.64,15,92.91,13.05,5
87,72,290,1,26,2,339,2.83,3,96.26,7.46,0
88,5,143,1,34,2,435,6.3,10,60.36,9.17,4
89,23,146,4,38,2,472,7.58,13,85.86,11.94,2
90,85,231,3,9,5,341,1.0,11,98.83,1.76,2
91,94,54,2,28,5,292,9.49,16,69.35,13.55,9
92,87,26,4,48,4,128,4.08,11,92.85,9.16,7
93,44,74,5,44,1,376,2.86,10,72.21,7.51,1
94,2,123,1,32,4,338,4.25,1,85.43,8.42,7
95,91,260,1,18,1,94,0.11,2,91.42,4.69,10
96,48,118,1,35,3,398,9.28,12,67.77,5.17,9
97,43,218,3,4,4,218,13.05,10,80.74,11.01,0
98,23,131,1,4,4,140,18.63,19,98.62,3.15,5
99,7,75,5,19,5,308,19.47,16,93.0,10.61,2
100,59,258,3,45,3,223,10.58,11,83.44,0.38,7
101,86,134,5,47,4,155,4.59,0,77.07,10.49,5
102,93,217,1,25,3,458,13.33,2,62.45,8.48,7
103,31,267,3,19,2,418,8.03,2,60.58,10.59,1
104,2,169,2,1,2,372,17.71,4,86.92,14.89,5
105,6,48,2,36,1,240,2.59,3,62.98,9.62,8
106,83,32,3,22,2,429,11.75,19,90.27,0.96,0
107,27,297,4,31,1,402,10.6,5,76.75,10.19,10
108,62,13,1,28,4,128,6.13,8,84.53,12.81,1
109,59,167,3,38,5,284,13.0,18,98.91,1.54,3
110,12,59,5,9,1,227,10.52,11,60.18,10.82,9
111,62,283,3,22,5,364,19.39,18,92.01,9.87,4
112,97,116,2,3,4,246,10.18,3,98.47,7.62,0
113,14,10,3,31,5,268,17.78,18,76.54,1.07,3
114,89,170,5,19,4,189,7.11,16,94.14,8.78,7
115,33,113,2,10,1,183,15.95,16,67.82,9.79,2
116,32,163,4,28,3,322,0.33,11,67.23,14.58,10
117,27,182,2,34,5,471,17.36,3,67.19,7.87,0
118,6,170,3,29,3,306,9.89,14,94.85,3.17,9
119,58,37,1,7,3,231,14.58,3,94.45,9.46,1
120,78,126,5,31,2,111,18.73,19,60.78,0.97,6
121,81,167,4,24,3,64,12.85,20,66.39,4.88,9
122,65,291,2,12,3,144,0.31,1,80.16,6.73,8
123,58,271,4,26,3,385,7.23,10,96.99,11.73,0
124,13,97,4,29,1,193,10.02,0,98.95,1.55,3
125,33,220,1,2,4,181,7.05,5,61.71,9.83,9
126,14,141,5,42,5,228,11.84,3,98.27,9.36,10
127,25,56,1,22,5,415,6.35,7,92.29,8.89,6
128,98,133,2,30,3,401,8.74,15,95.7,7.47,5
129,42,267,1,46,5,405,6.01,0,60.66,9.28,10
130,95,293,1,28,1,204,8.18,8,75.23,3.39,6
131,14,267,3,24,2,415,7.88,16,87.49,4.48,3
132,97,148,3,20,5,251,5.19,12,88.42,1.4,8
133,77,194,2,47,5,475,18.41,1,97.68,10.66,6
134,56,213,3,42,1,77,5.47,5,77.8,9.34,4
135,33,91,1,39,4,103,12.93,15,85.03,13.03,9
136,99,119,2,40,2,373,19.91,0,98.18,6.73,5
137,65,267,3,1,3,256,9.73,16,68.1,9.27,10
138,63,292,2,44,2,54,4.15,19,81.69,10.94,2
139,20,154,3,32,3,429,14.02,18,70.31,3.75,3
140,28,84,2,49,4,254,13.72,9,92.29,14.85,8
141,93,284,3,10,1,250,9.43,10,75.98,4.52,8
142,43,61,2,32,2,384,19.35,16,99.03,13.36,7
143,12,173,4,15,2,371,16.23,4,66.96,11.81,5
144,2,40,4,31,5,61,17.33,6,88.31,13.89,8
145,83,53,2,30,4,185,4.81,12,99.64,8.1,7
146,8,230,2,2,3,308,13.94,8,68.95,9.95,7
147,40,53,5,21,2,337,1.16,0,82.95,3.41,9
148,48,58,1,5,1,484,5.33,16,97.39,8.69,2
149,59,246,3,49,2,373,15.67,3,71.76,12.51,4
150,75,219,1,16,3,292,16.56,16,93.5,13.84,5
151,78,57,5,38,4,118,15.26,9,64.72,9.93,9
152,58,220,2,38,2,419,10.12,2,60.3,9.64,0
153,28,58,3,50,4,268,17.04,3,60.76,5.77,7
154,9,154,4,17,1,358,5.42,0,76.59,0.53,5
155,70,42,3,48,4,356,18.43,13,95.96,2.35,10
156,42,228,1,16,1,71,6.07,3,88.58,9.4,8
157,69,239,5,3,2,345,1.05,12,61.38,7.87,1
158,77,19,5,39,3,245,6.97,16,67.72,3.35,2
159,63,295,1,25,2,129,5.12,0,65.47,11.91,4
160,59,287,2,6,1,481,1.99,10,73.57,3.34,9
161,48,177,2,12,3,51,15.52,6,91.01,13.75,9
162,10,296,3,27,5,153,12.38,2,91.71,1.45,6
163,44,235,2,49,1,414,5.62,14,67.58,9.81,7
164,18,191,2,1,4,140,9.98,9,78.6,8.48,3
165,10,41,5,13,3,253,1.01,17,70.14,4.79,3
166,7,203,5,5,2,315,9.97,9,97.07,5.84,9
167,75,243,2,8,3,162,19.49,20,66.12,14.44,1
168,77,212,1,1,4,313,15.25,14,83.92,8.65,4
169,86,140,5,19,1,243,8.84,19,87.57,11.6,0
170,16,256,1,4,4,200,6.2,10,70.31,0.2,5
171,65,189,3,21,5,301,8.41,5,75.39,12.45,9
172,73,24,2,35,1,400,18.77,16,88.69,14.9,8
173,13,219,2,38,1,109,18.15,8,83.66,14.65,8
174,75,177,3,13,2,57,16.09,14,91.22,10.39,1
175,33,289,5,42,1,496,14.04,10,98.9,0.1,3
176,43,264,4,5,2,290,10.08,6,90.88,11.49,4
177,40,47,2,33,4,319,14.71,4,67.17,12.14,9
178,72,249,4,47,1,352,3.22,12,87.34,2.29,5
179,36,202,5,50,1,121,19.32,7,62.12,5.45,1
180,87,168,5,12,4,211,0.47,13,62.09,10.63,0
181,46,142,2,32,3,409,0.84,10,75.52,3.59,2
182,43,124,3,33,5,63,16.9,12,69.39,2.99,0
183,71,251,3,37,5,91,16.89,1,70.94,10.19,1
184,85,197,1,23,1,56,19.18,15,60.91,14.39,5
185,93,108,4,30,4,434,0.19,15,72.45,12.96,3
186,55,163,2,23,4,431,5.44,20,75.02,13.11,9
187,53,262,3,16,2,388,2.17,16,60.24,5.41,7
188,39,39,3,46,2,257,15.26,6,87.97,7.86,2
189,20,41,2,8,5,141,18.7,18,72.91,7.19,8
190,60,27,4,26,2,368,10.68,0,92.58,1.12,6
191,20,238,1,32,3,184,3.76,1,62.77,2.53,10
192,93,93,1,25,1,283,13.01,16,87.2,5.08,5
193,37,250,5,12,3,333,2.58,19,84.67,10.55,0
194,17,90,2,45,5,273,12.48,15,93.2,13.12,8
195,86,58,1,14,1,310,0.38,11,89.86,12.36,1
196,23,211,2,1,2,478,18.24,0,98.1,14.38,0
197,77,165,5,46,1,275,8.36,20,69.18,3.71,6
198,88,147,4,7,5,153,19.27,16,71.09,10.4,5
