Archivage_id,Date_id,Document_id,Media_id,Client_id,Produit_id,Nb_documents_archivés,Taux_digitalisation,Temps_moyen_acces_documents,Taux_indexation_correcte,Nb_consultations_archives,Nb_telechargement
1,22,19,6,100,1,958,73.4,1.03,91.91,182,152
2,38,79,6,5,3,82,79.64,12.72,80.09,220,127
3,31,10,7,54,15,690,98.15,9.71,81.22,124,114
4,38,52,6,50,31,275,99.95,18.37,95.35,6,155
5,13,32,8,183,41,720,66.78,7.59,90.46,59,40
6,29,68,9,126,14,735,71.85,1.93,83.8,463,263
7,8,28,7,183,3,763,54.75,18.51,96.43,20,37
8,30,73,9,58,32,110,99.88,14.09,81.98,389,58
9,88,23,6,196,2,94,77.23,15.03,86.91,262,159
10,13,64,6,83,45,271,91.05,16.05,85.27,355,26
11,14,39,5,6,26,913,72.61,4.51,94.78,6,169
12,87,10,2,141,14,351,70.53,5.79,93.1,444,73
13,78,54,5,173,45,11,63.85,4.32,91.46,484,234
14,92,7,10,193,23,671,74.1,15.27,91.82,161,218
15,4,46,3,39,14,360,67.59,5.58,84.27,248,144
16,67,43,6,47,21,976,80.74,13.96,92.83,119,0
17,11,39,11,7,34,749,66.82,14.21,92.24,413,278
18,38,48,3,126,21,305,51.51,8.08,89.29,358,267
19,81,69,4,144,45,430,67.67,3.33,91.19,409,16
20,5,21,11,65,19,177,85.88,9.72,92.72,339,65
21,72,46,9,195,50,87,80.42,4.86,96.09,137,268
22,58,13,4,115,18,85,86.39,17.41,88.15,154,123
23,36,63,5,101,44,550,54.79,9.42,88.97,295,74
24,99,13,7,138,46,813,73.45,17.03,81.49,483,231
25,7,3,9,191,44,49,97.04,15.85,89.49,332,117
26,45,48,6,81,24,167,89.15,5.22,98.15,384,200
27,99,29,5,33,41,508,84.98,17.82,88.34,95,294
28,18,77,11,175,35,824,97.89,17.81,91.3,66,5
29,84,38,5,177,13,946,53.73,18.13,95.51,284,87
30,30,51,6,83,11,690,74.66,9.53,89.69,345,98
31,89,22,3,51,32,301,56.98,6.38,97.58,54,293
32,74,30,8,73,22,985,60.81,18.4,96.06,37,232
33,77,26,10,85,15,430,52.23,7.73,84.78,258,263
34,6,30,2,44,12,723,61.84,10.66,94.27,47,256
35,89,9,8,100,4,144,85.79,11.26,97.38,286,123
36,42,60,4,38,3,295,75.7,14.08,89.51,326,117
37,100,62,5,68,15,468,55.08,10.59,93.45,415,34
38,58,27,5,51,48,914,61.03,1.18,89.33,148,149
39,80,37,5,93,45,860,94.92,16.54,89.68,350,267
40,8,60,9,154,36,523,76.41,4.29,91.25,57,139
41,39,25,3,70,6,790,58.0,6.55,85.98,358,202
42,31,61,2,115,43,203,60.14,17.99,87.63,212,32
43,96,9,3,200,39,920,81.73,15.02,88.11,238,97
44,36,30,8,134,24,308,64.07,18.65,89.26,4,176
45,12,29,10,65,45,77,71.64,13.24,83.53,340,278
46,79,72,2,173,10,495,55.59,19.51,88.52,10,299
47,78,56,8,28,45,807,51.61,18.57,84.17,334,37
48,29,70,4,45,50,715,51.98,14.29,99.27,146,52
49,45,44,8,19,1,950,57.62,15.18,90.93,257,230
50,17,19,7,43,19,383,51.46,5.4,97.2,7,191
51,17,24,8,151,50,672,69.24,9.42,94.74,215,80
52,59,65,9,57,25,321,84.7,7.73,96.39,90,38
53,49,21,7,72,21,792,92.63,6.52,90.98,198,110
54,21,37,4,103,3,577,99.34,17.06,92.46,249,61
55,10,16,3,186,34,193,96.98,14.25,84.83,385,61
56,56,40,8,71,41,400,93.06,18.45,93.5,14,59
57,15,78,8,8,30,89,63.93,9.92,93.7,470,211
58,15,58,2,175,28,124,78.76,8.82,83.15,197,85
