Finance_id,Date_id,Budget_id,Fournisseur_id,Budget_consommé_vs_engagé,Délai_paiement_fournisseurs,Taux_fiabilité_prévisions
1,2,23,48,85478.16,71,76.89
2,17,23,28,53654.01,36,73.06
3,44,21,25,65413.42,44,75.54
4,8,29,40,74555.25,50,97.54
5,84,23,30,28296.45,47,75.3
6,80,19,26,93603.13,80,75.14
7,47,3,41,95204.75,14,73.4
8,62,22,40,74529.03,47,88.28
9,72,19,12,67674.61,57,82.79
10,34,19,36,23055.99,53,87.86
11,82,6,4,28663.02,46,90.01
12,39,13,37,38254.47,39,85.15
13,23,28,49,87767.14,23,94.68
14,80,27,34,61917.17,53,85.25
15,91,4,32,89855.81,61,99.79
16,47,17,50,32948.43,32,76.32
17,6,4,28,66311.21,44,84.47
18,33,28,17,94504.0,57,99.23
19,62,15,6,13029.7,76,81.85
20,17,28,48,64838.07,11,77.48
21,3,11,2,12374.54,74,87.17
22,72,20,12,8746.71,74,87.19
23,37,20,45,40134.2,81,82.15
24,97,7,36,20077.78,12,86.54
25,11,14,41,52193.89,55,90.91
26,24,6,32,53952.29,40,75.9
27,86,17,12,45926.52,25,70.81
28,98,24,23,77687.11,42,88.74
29,56,7,9,58249.94,83,85.52
30,48,7,20,47355.27,7,75.05
31,90,1,34,34820.1,29,86.34
32,41,15,46,7744.67,63,79.1
33,76,12,10,52131.65,33,94.29
34,9,7,21,73313.57,76,74.76
35,60,9,40,86227.47,8,76.69
36,65,11,41,90147.27,57,85.47
37,22,4,36,14004.21,48,80.39
38,77,29,15,38988.13,37,78.07
39,95,5,46,64743.74,16,90.8
40,51,20,32,70347.38,21,77.11
41,42,20,6,35111.73,72,93.29
42,96,4,42,12414.19,60,70.03
43,60,9,14,6810.16,33,76.83
44,75,29,47,55194.11,64,76.22
45,9,16,13,31046.86,35,71.79
46,95,27,23,70505.05,7,87.11
47,94,11,15,67039.7,86,80.55
48,28,27,34,76159.2,53,73.9
49,87,11,31,56410.74,25,96.42
50,14,18,21,76125.14,86,71.72
51,81,9,16,67761.65,56,80.68
52,34,23,50,97566.42,58,73.6
53,11,20,6,14218.81,64,86.06
54,58,11,35,89420.71,88,75.98
55,28,7,32,13001.61,53,78.51
56,6,11,7,88932.63,50,86.77
57,63,7,7,56564.01,60,91.48
58,71,23,43,58064.52,6,90.13
59,89,30,39,57048.24,85,74.16
60,11,17,4,23854.21,85,82.14
61,28,10,8,26616.77,42,88.67
62,80,1,24,72841.2,78,79.83
63,16,9,12,48628.57,65,90.28
64,34,9,16,88463.75,30,72.4
65,65,2,23,20781.62,38,84.1
66,3,22,6,22218.37,25,71.37
67,45,17,46,32662.9,16,97.22
68,67,28,33,25268.09,8,96.44
69,11,30,48,70503.68,42,88.85
70,49,24,36,93786.83,76,98.79
71,11,8,40,74097.28,78,71.11
72,84,1,46,17275.04,55,92.71
73,93,4,1,29280.67,60,76.23
74,27,27,10,92458.03,58,76.12
75,88,23,47,23523.19,22,84.9
76,62,30,33,33258.58,9,88.0
77,70,2,3,9583.92,83,98.3
78,51,17,48,21403.14,31,87.65
79,46,15,15,14767.54,12,81.87
80,76,1,19,23060.5,83,90.58
81,32,7,48,42378.05,26,88.69
82,88,30,5,42102.59,62,88.08
83,86,3,15,66137.99,74,84.06
84,95,8,5,65796.71,80,96.37
85,30,9,19,45109.96,61,94.84
86,63,14,49,46235.74,39,86.53
87,97,20,43,5648.7,86,91.72
88,95,10,27,69660.08,35,92.96
89,33,5,18,38843.96,6,71.7
90,90,29,23,44667.35,88,94.75
91,12,16,33,42309.1,70,73.18
92,70,30,31,96195.74,55,80.19
93,86,10,23,88699.67,36,86.53
94,34,28,10,65568.26,83,84.59
95,93,21,18,68445.01,68,78.25
96,13,18,46,34458.43,71,74.85
97,97,21,31,15312.46,50,96.87
98,20,13,15,97781.73,50,83.64
99,4,3,16,52022.7,59,85.63
100,69,13,40,88784.65,69,99.53
101,95,2,3,87312.64,35,75.0
102,87,7,17,14541.4,84,89.85
103,65,2,26,69512.42,6,70.74
104,75,12,34,80445.0,38,94.89
105,96,22,34,75795.81,40,72.93
106,24,26,35,55985.32,87,76.03
107,41,3,25,44601.34,37,88.23
108,94,15,23,73454.01,8,94.56
109,89,10,30,61250.99,6,99.04
110,3,5,27,92279.51,18,77.1
111,4,23,32,75404.28,39,77.12
112,22,3,15,41838.36,65,87.79
113,31,19,13,91999.56,75,90.27
114,3,22,31,7716.94,14,94.44
115,2,30,4,11930.32,90,93.23
116,87,15,16,8373.67,7,75.05
117,42,21,22,75379.87,38,82.01
