Gouvernance_id,Date_id,Direction_id,Employe_id,Systeme_id,Projet_id,Nb_projets_strategiques,Taux_utilisation_BI,Balanced_scorecard,Dashboards_exploités
1,79,2,8,13,15,10,58.86,6,7
2,45,5,136,43,4,7,55.91,36,40
3,81,2,95,19,60,10,83.03,61,36
4,100,4,1,29,65,10,50.82,100,31
5,99,1,265,14,21,2,62.03,29,42
6,28,9,156,27,91,0,66.91,86,33
7,80,7,109,25,70,7,75.14,65,48
8,75,2,1,8,28,3,85.05,24,31
9,6,8,25,38,16,7,96.47,97,37
10,46,6,102,15,47,7,72.76,45,23
11,74,5,102,16,11,4,81.18,38,28
12,91,1,121,22,72,3,82.74,60,10
13,58,5,234,14,16,9,90.76,50,4
14,53,5,173,23,55,6,54.4,99,41
15,97,7,272,7,20,0,51.96,51,25
16,99,3,38,49,44,10,55.76,40,27
17,23,2,95,30,73,9,94.94,49,3
18,11,1,182,8,49,8,73.02,11,49
19,44,5,58,45,60,4,79.73,76,43
20,64,1,54,3,56,3,93.29,4,0
21,57,5,135,18,10,0,82.45,98,50
22,22,3,238,15,45,1,79.64,73,34
23,80,1,190,14,58,10,74.47,59,27
24,63,5,133,6,18,9,80.23,6,18
25,70,2,46,45,89,6,77.25,40,36
26,6,7,105,35,64,1,83.99,73,40
27,56,6,84,48,36,4,77.83,24,30
28,8,5,20,28,82,2,76.07,63,31
29,87,6,241,41,43,1,53.57,19,50
30,94,8,212,38,55,5,75.29,79,34
31,50,2,124,32,87,5,66.79,67,0
32,32,9,280,44,15,9,61.99,82,49
33,37,9,176,14,20,6,88.24,46,16
34,97,2,72,28,25,5,63.35,67,44
35,3,1,52,17,15,2,53.19,75,47
36,44,9,223,8,49,3,65.97,80,50
37,8,6,126,9,92,9,93.64,91,21
38,98,7,41,1,25,10,72.99,64,12
39,62,1,235,50,38,8,52.26,64,3
40,31,7,161,40,95,4,86.86,51,2
41,11,2,47,33,97,5,74.55,5,5
42,30,3,129,13,66,3,69.71,70,33
43,82,9,275,8,81,0,86.25,4,20
44,95,4,135,50,67,8,69.54,62,20
45,55,7,218,38,68,2,56.93,23,11
46,16,7,134,15,7,6,96.81,33,35
47,71,7,30,11,36,6,54.11,88,10
48,6,10,173,28,91,0,71.37,27,18
49,45,10,173,1,60,4,95.74,48,45
50,92,3,154,19,95,9,83.21,13,8
51,61,9,258,2,5,7,65.17,64,28
52,44,9,147,1,95,8,67.88,67,6
53,74,9,98,22,8,3,51.32,1,0
54,72,4,114,6,72,1,60.53,21,4
55,5,7,145,19,41,4,63.44,77,18
56,82,6,136,46,19,5,77.56,78,3
57,59,4,196,45,45,5,54.3,45,27
58,66,7,297,22,50,0,83.71,0,15
59,19,2,91,36,54,10,52.88,63,14
60,43,3,71,10,50,9,55.67,19,36
61,96,3,160,22,25,6,57.65,27,43
62,31,3,259,45,88,4,96.55,63,0
63,41,5,184,2,99,9,99.19,86,20
64,3,6,181,30,57,2,93.35,40,17
65,22,6,27,17,27,5,66.26,51,17
66,2,5,136,8,93,4,76.98,2,33
67,36,6,285,16,86,1,52.27,88,5
68,31,6,91,24,48,0,60.19,33,24
69,46,9,198,19,9,0,83.24,90,33
70,24,7,179,48,91,6,66.0,55,32
71,28,3,119,6,74,1,88.12,92,29
72,71,9,59,21,60,2,69.55,46,31
73,90,5,275,45,30,9,89.15,34,37
74,26,5,84,48,48,3,57.35,31,50
75,33,8,106,28,16,8,65.63,91,45
76,1,4,37,47,25,4,60.41,1,23
77,84,7,63,2,92,0,82.69,16,22
78,10,3,220,49,26,5,66.07,75,38
79,13,1,36,30,2,2,52.26,92,20
