Infra_id,Date_id,Systeme_id,Employe_id,Taux_disponibilité_système,Nb_incidents_résolus,Temps_moyen_résolution,Taux_conformité_normes,Taux_reponse_plateforme
1,36,31,17,90.82,20,24.19,98.36,79.47
2,37,14,58,81.28,21,25.51,96.21,94.08
3,69,2,176,87.3,11,25.67,72.0,97.31
4,17,32,106,84.65,4,47.54,81.64,73.88
5,38,1,53,85.6,36,11.31,98.48,88.65
6,5,4,287,90.47,25,9.0,85.56,81.33
7,13,47,182,82.43,33,19.57,76.26,84.04
8,1,31,19,99.3,46,6.87,92.11,72.06
9,7,42,97,86.94,41,38.07,90.83,86.68
10,8,38,83,93.69,29,31.28,95.01,96.3
11,62,7,140,90.34,29,32.58,91.2,74.58
12,78,17,212,93.54,50,22.32,99.27,85.84
13,86,28,140,84.67,2,11.87,88.57,88.52
14,82,11,73,93.92,24,27.41,90.35,83.9
15,73,13,26,86.96,13,28.39,88.88,94.77
16,1,8,210,84.82,35,10.65,98.21,94.4
17,4,11,243,88.1,17,43.88,74.43,76.18
18,66,44,93,89.18,17,45.07,91.9,96.06
19,48,21,227,81.89,22,22.94,98.23,74.66
20,58,3,262,86.73,37,25.91,87.07,91.16
21,72,13,62,87.08,25,14.34,86.74,93.07
22,4,37,192,84.15,33,12.13,84.58,76.65
23,21,9,270,90.12,45,41.59,84.06,96.2
24,16,34,144,98.25,13,46.63,70.27,81.69
25,31,39,137,91.76,41,3.35,75.5,84.29
26,54,40,24,81.21,28,29.15,99.92,85.77
27,18,31,141,96.25,39,25.11,71.99,80.72
28,63,19,188,94.6,29,25.91,72.93,88.41
29,94,21,135,97.19,33,25.33,93.32,80.88
30,15,17,31,80.5,33,4.36,87.57,91.3
31,55,9,46,90.41,17,11.98,79.86,94.9
32,56,45,80,89.98,44,16.52,97.11,98.55
33,25,31,134,90.45,38,25.86,91.15,87.25
34,7,20,135,98.07,35,7.17,83.89,99.2
35,53,21,22,84.97,39,38.37,89.27,88.5
36,22,18,10,83.1,24,3.32,99.02,71.59
37,100,10,201,96.01,50,27.35,84.96,99.43
38,75,16,215,97.98,38,21.68,91.35,75.79
39,3,10,176,91.71,16,27.72,85.83,75.74
40,63,35,97,92.35,33,47.43,84.65,86.93
41,22,16,240,97.16,9,31.07,72.02,86.53
42,74,16,199,88.26,42,34.22,74.61,94.97
43,91,10,18,86.48,36,6.85,83.68,98.87
44,90,20,159,92.06,37,20.77,75.72,90.04
45,38,19,230,91.81,3,4.36,84.47,70.43
46,12,14,162,91.94,21,4.38,82.51,88.78
47,4,17,257,80.36,21,15.29,74.61,95.11
48,82,41,235,90.53,32,25.99,85.63,84.44
49,30,17,206,98.3,43,24.72,82.6,80.51
50,64,26,110,91.47,4,17.83,90.33,77.66
51,14,47,280,98.14,16,27.18,84.02,93.68
52,15,49,53,86.67,27,5.99,91.13,96.41
53,4,37,142,84.65,16,24.45,75.18,83.05
54,24,27,113,88.19,20,28.25,78.36,78.46
55,67,40,174,82.9,38,47.59,77.09,78.7
56,27,45,190,83.75,34,20.13,99.41,70.42
57,39,17,279,90.0,49,42.89,72.32,86.51
58,58,30,3,90.5,19,28.15,78.86,86.32
59,25,26,240,90.28,50,47.24,82.87,94.57
60,54,16,26,90.79,41,40.58,95.81,76.46
61,55,14,169,96.89,33,16.83,75.36,75.16
62,57,7,300,98.8,22,10.3,77.45,82.07
63,95,18,4,87.96,24,39.0,89.13,97.77
64,94,5,173,97.75,0,24.06,84.37,79.86
65,55,41,131,97.98,36,1.48,77.72,91.0
66,40,30,265,87.94,4,47.49,77.13,96.78
67,48,49,190,91.79,40,22.96,91.56,72.85
68,18,21,264,94.03,19,28.02,83.1,87.68
69,30,17,127,84.85,15,4.44,80.61,79.7
70,46,13,56,94.87,43,47.88,74.53,97.14
71,30,43,285,84.47,38,8.83,90.36,70.21
72,6,19,104,98.84,12,8.71,86.43,99.69
73,99,7,48,80.52,1,39.79,75.29,73.25
74,4,18,248,84.99,22,23.43,77.71,71.68
75,10,42,148,82.09,21,7.82,86.8,76.23
76,89,11,48,88.53,36,8.89,90.67,82.25
77,90,41,272,87.95,15,0.88,85.65,91.47
78,46,20,243,81.34,10,36.91,89.15,87.52
79,77,15,68,82.5,24,2.97,78.84,88.07
80,72,16,51,85.77,8,18.9,91.71,83.3
81,54,35,101,87.6,0,6.97,90.08,95.64
82,22,28,201,93.19,32,9.79,97.8,95.26
83,91,33,81,89.16,9,32.04,82.56,88.41
84,11,49,208,97.41,44,44.37,97.16,89.06
85,12,41,228,99.61,15,8.16,91.76,80.59
86,47,29,70,84.65,19,35.86,92.05,87.9
87,33,5,17,83.69,29,16.04,81.44,79.12
88,17,18,11,84.52,19,41.74,82.64,88.64
89,77,47,105,96.98,7,30.87,85.33,92.81
90,30,42,124,93.29,31,43.13,90.49,99.13
91,91,31,249,95.52,43,20.85,70.49,86.69
92,61,30,17,82.84,20,44.9,95.3,79.88
93,50,46,234,90.54,4,34.58,82.94,98.73
94,67,10,65,94.5,26,44.14,80.85,94.03
95,1,11,248,93.26,11,5.24,89.52,74.54
96,29,10,36,80.92,20,44.2,87.3,97.5
97,12,5,65,99.67,23,2.71,78.75,81.54
98,96,36,194,81.63,10,22.42,96.27,96.13
99,92,48,174,85.39,29,11.5,73.85,72.87
100,12,34,75,87.0,29,38.29,95.42,76.34
101,65,21,14,86.79,26,33.12,98.1,87.12
102,51,16,73,80.09,37,11.41,92.26,93.64
103,64,31,131,90.41,15,38.26,95.66,76.87
104,30,18,263,83.32,39,6.03,79.05,77.07
105,64,50,58,97.22,0,16.84,80.74,70.51
106,12,24,115,89.1,4,21.26,80.8,71.2
107,93,45,95,91.95,10,40.32,91.24,88.4
108,36,45,92,88.54,24,36.21,75.17,92.17
109,49,16,67,98.64,19,14.11,99.62,70.76
110,24,29,2,92.43,13,0.53,90.77,93.5
111,15,21,264,98.42,21,41.59,76.3,88.22
112,87,24,12,85.98,0,29.11,94.11,70.68
113,52,8,199,83.37,20,3.16,78.98,92.6
114,7,27,262,94.35,25,21.01,91.47,90.67
115,55,48,25,87.71,20,13.35,83.4,76.68
116,91,11,276,94.94,14,37.04,92.39,91.33
117,27,21,280,80.71,3,36.68,70.67,95.35
118,24,31,292,91.0,48,21.52,82.05,91.01
119,56,9,9,92.67,18,34.97,90.53,99.25
120,60,9,68,83.79,32,26.0,81.3,75.26
121,61,26,112,88.89,14,28.71,94.51,73.64
122,13,19,101,86.76,50,21.97,99.07,89.17
123,47,26,146,95.29,50,23.21,77.86,84.56
124,23,18,4,95.83,2,26.34,79.71,71.32
125,92,4,42,91.6,34,40.91,94.43,75.13
126,97,49,165,86.94,13,32.91,95.59,83.94
127,84,48,247,98.92,36,12.71,93.5,73.12
128,95,12,162,94.34,11,2.84,91.6,77.71
129,88,16,294,99.67,37,10.49,85.48,81.59
130,58,8,21,99.12,12,30.51,75.23,78.41
131,55,21,55,85.42,0,43.14,73.25,71.12
132,3,42,120,91.2,41,24.83,85.78,75.32
133,88,3,2,91.2,35,39.62,78.71,87.48
134,76,1,256,94.13,45,3.66,86.33,84.83
135,95,42,139,96.81,11,23.05,70.43,72.64
136,50,41,256,90.42,46,14.08,81.5,82.73
137,1,25,174,84.74,40,39.58,94.06,92.6
138,58,40,245,80.69,9,1.14,74.64,85.62
139,45,6,95,99.58,26,3.21,72.88,92.88
140,3,28,282,90.49,40,43.72,86.74,74.2
141,84,3,150,88.44,33,33.88,83.42,92.2
142,75,26,67,92.84,6,27.93,94.33,74.05
143,80,13,113,91.07,23,5.17,92.95,79.84
144,41,6,246,95.36,27,34.99,90.01,89.08
145,63,31,32,85.38,4,2.05,94.82,83.94
146,95,10,186,85.21,4,29.32,94.25,91.33
147,39,19,230,80.31,46,44.22,84.45,74.46
148,57,45,8,93.0,1,33.76,71.68,72.45
149,28,10,66,84.76,32,11.19,81.86,93.07
150,56,50,140,86.16,2,40.02,77.44,91.05
151,52,32,193,80.69,0,37.68,86.69,74.04
152,72,21,219,97.98,35,33.08,83.93,84.63
153,88,50,287,80.91,40,31.1,94.83,86.09
154,92,41,300,97.54,12,6.94,89.8,89.49
155,59,32,57,97.34,18,33.85,75.8,97.66
156,22,30,188,86.15,14,18.54,93.07,80.38
157,74,7,60,95.61,50,24.89,96.9,89.49
158,1,26,254,81.93,41,9.48,84.53,99.39
159,6,44,189,83.0,22,40.74,73.23,99.76
160,31,38,175,96.64,18,8.13,94.87,75.53
161,89,15,85,88.95,27,33.59,84.85,94.19
162,57,3,150,95.8,26,1.05,74.27,98.15
163,35,46,297,88.38,50,11.41,85.65,92.65
164,63,36,203,91.7,5,14.81,98.63,93.38
165,90,16,216,88.76,37,4.23,86.21,76.09
166,55,44,143,98.88,12,13.94,99.61,80.66
167,34,23,126,99.4,37,29.26,84.46,97.48
168,98,9,189,86.89,30,5.63,87.2,71.12
169,17,11,239,80.67,11,8.36,74.45,76.16
170,91,50,31,86.89,15,31.87,79.21,97.03
171,79,6,224,92.96,9,32.97,78.09,89.46
172,57,22,110,94.23,31,20.03,81.23,94.22
173,81,17,70,97.87,31,34.08,77.13,73.26
174,5,43,181,80.86,12,31.38,77.89,80.27
175,11,36,56,84.12,24,30.46,89.75,77.31
176,21,32,275,87.19,22,33.49,93.57,71.41
177,55,44,156,94.31,35,19.9,87.66,96.51
178,68,40,86,93.26,41,5.22,95.27,98.91
179,55,13,87,84.62,2,41.61,73.98,86.19
180,96,42,155,83.14,34,5.81,89.39,91.15
181,5,45,159,89.49,32,17.77,80.01,71.05
182,97,21,263,95.33,39,38.59,99.71,78.19
183,77,27,133,96.56,33,37.71,87.11,75.6
184,50,38,71,82.94,16,6.48,82.86,79.14
185,21,38,264,91.83,7,44.66,97.09,77.26
186,20,31,281,88.79,20,9.34,94.71,74.8
187,21,14,167,89.32,43,2.26,71.45,71.68
188,74,48,293,97.91,39,31.52,94.66,84.72
189,4,7,165,80.58,19,35.62,84.15,84.01
190,84,46,91,84.34,13,6.45,89.03,73.51
191,95,33,261,85.02,46,16.46,92.07,85.21
192,73,21,252,83.32,42,27.66,98.15,91.28
193,11,18,200,94.56,22,4.29,88.14,94.33
194,8,27,255,84.82,9,1.5,86.11,82.12
195,27,32,100,84.32,21,16.85,93.39,88.4
196,63,27,13,94.91,7,26.32,72.85,72.21
197,28,32,90,85.49,8,30.7,87.86,89.78
198,11,33,217,91.45,23,22.2,94.96,79.01
199,7,35,38,99.67,14,40.97,85.08,80.37
200,7,16,266,98.68,28,3.89,97.89,86.75
201,31,48,246,84.36,24,24.65,84.69,78.66
202,31,7,74,95.55,19,31.65,76.17,80.72
203,47,22,152,81.2,11,13.38,93.89,99.53
204,84,49,253,97.11,8,2.87,79.26,77.44
205,27,31,240,84.41,35,34.72,82.92,98.03
206,72,50,50,83.09,48,29.56,74.6,75.92
207,66,19,205,92.33,4,10.48,97.29,74.16
208,46,29,54,90.42,37,43.61,93.03,86.12
209,32,44,34,87.88,18,11.11,92.27,78.7
210,50,13,192,97.75,29,18.34,90.45,91.36
211,5,43,180,93.4,41,1.1,83.47,94.28
212,69,36,180,99.6,38,14.82,81.61,99.11
213,70,20,254,80.81,9,18.28,82.48,99.89
214,79,15,206,96.81,31,20.1,75.34,93.65
215,98,12,90,86.5,39,1.98,72.63,71.9
216,71,30,293,83.08,13,15.4,73.19,95.85
217,42,3,114,95.74,15,5.83,86.8,98.38
218,4,7,290,91.6,49,14.29,91.06,74.19
219,6,26,52,85.55,16,2.01,75.41,89.48
220,18,27,95,91.25,10,10.81,87.13,74.12
221,49,38,251,83.86,2,39.0,99.21,85.41
222,18,27,47,83.13,28,16.79,74.16,75.27
223,30,9,20,96.22,36,29.58,98.74,77.7
224,25,13,90,82.69,34,36.02,73.9,85.99
225,74,17,204,82.38,44,3.99,84.79,95.59
226,86,39,198,94.68,37,42.24,80.26,91.3
227,24,29,250,84.82,44,18.14,85.21,91.55
228,28,24,271,93.21,6,11.72,92.2,85.98
229,84,39,204,88.94,9,39.11,77.79,93.48
230,83,15,285,80.17,11,33.5,71.37,84.8
231,69,24,34,81.23,30,36.55,70.71,88.06
232,60,29,185,90.15,34,17.33,74.46,72.17
233,49,1,63,84.15,34,22.16,94.27,75.93
234,89,34,221,89.15,23,38.15,80.28,99.82
