Monetisation_id,Date_id,Produit_id,Client_id,Campagne_id,CA_total,Marge_nette,Cout_acquisition_client,Taux_reconduction_contrats,Taux_conversion,Panier_moyen
1,13,10,139,6,3907.9,421.87,198.6,70.5,79.04,452.72
2,26,43,23,5,472.29,919.49,153.64,47.65,29.07,269.89
3,36,13,186,3,1184.8,363.55,222.51,17.13,42.02,46.8
4,81,13,117,1,1917.1,870.41,157.58,3.74,29.48,368.06
5,97,45,198,3,4146.03,941.57,176.3,94.82,17.5,370.61
6,6,1,156,5,516.14,110.56,219.25,32.74,18.8,272.2
7,75,24,163,6,3453.79,392.24,236.06,38.16,21.81,343.63
8,47,12,78,9,2280.27,964.65,42.14,46.19,83.19,67.11
9,99,30,149,1,3985.0,611.47,137.65,86.17,75.31,125.49
10,26,11,97,9,1302.03,537.46,225.09,39.33,54.82,144.05
11,24,46,98,6,1233.63,631.51,72.99,95.04,40.9,136.54
12,81,43,158,9,1070.48,196.19,214.46,54.82,72.06,127.61
13,23,36,176,5,4639.19,330.03,223.97,92.96,95.99,49.48
14,91,36,35,10,3165.13,648.03,43.17,73.0,77.88,304.62
15,17,35,192,5,4345.46,129.99,66.6,45.62,80.33,470.47
16,96,43,175,8,4857.83,775.02,251.21,68.27,78.53,65.63
17,30,1,5,6,3533.81,622.26,154.38,28.56,80.04,144.96
18,47,7,12,3,1120.99,104.21,149.15,68.97,23.61,387.76
19,36,22,179,3,3464.6,557.46,88.52,52.29,8.62,482.04
20,73,48,53,5,3814.71,735.49,295.94,85.37,58.15,266.12
21,65,23,12,10,283.19,433.76,20.73,67.24,36.87,61.17
22,11,49,142,10,764.63,683.03,95.0,38.21,15.1,404.02
23,74,12,186,7,638.47,52.05,76.86,24.29,56.83,494.09
24,37,8,143,1,1294.46,621.1,106.17,3.13,55.16,287.26
25,91,31,78,2,4448.79,756.68,191.1,61.75,95.48,322.13
26,53,38,151,9,862.73,310.58,189.36,36.84,16.7,63.11
27,18,15,176,5,4243.91,470.98,40.36,26.72,43.4,453.74
28,93,35,51,5,1598.18,296.46,28.0,79.92,78.83,214.82
29,27,48,65,7,3267.3,192.23,131.77,23.37,46.64,99.24
30,89,25,87,5,2444.25,657.56,272.68,35.51,51.16,207.05
31,52,28,56,10,3126.76,275.52,36.74,62.9,20.85,301.56
32,35,12,132,5,3556.31,294.94,236.12,18.48,11.16,63.25
33,72,26,35,9,1054.73,494.23,274.5,73.62,50.7,157.47
34,84,22,14,7,4237.58,486.53,165.42,34.03,43.8,246.92
35,70,43,134,4,2642.76,817.39,154.54,38.93,15.2,358.67
36,79,47,18,9,1507.27,506.58,14.32,43.97,10.16,84.28
37,3,20,92,8,1137.86,516.13,141.98,93.51,23.73,446.42
38,25,24,130,8,4507.66,707.04,212.05,35.78,49.3,393.26
39,18,2,94,5,2780.95,356.38,117.45,33.77,21.17,323.46
40,78,6,176,2,1330.07,447.09,96.57,4.96,43.7,183.88
41,56,14,182,9,1881.67,878.25,272.2,81.72,92.79,403.42
42,22,18,43,7,3532.69,342.14,177.3,23.88,83.79,161.13
43,39,35,59,6,1123.48,919.55,184.02,95.48,9.85,478.96
44,85,22,115,2,4010.0,423.55,191.47,56.57,10.47,270.31
45,25,28,92,2,2226.03,481.38,15.61,61.4,4.82,182.39
46,38,41,23,7,2093.62,620.94,155.31,84.51,27.54,357.61
47,8,15,5,7,4069.29,639.74,229.13,58.84,17.43,345.09
48,6,29,119,6,703.56,675.11,114.08,33.97,59.08,187.96
49,2,14,123,9,3815.57,183.48,285.52,56.58,23.79,161.98
50,30,15,50,10,1670.12,621.24,262.01,41.37,89.24,473.8
51,87,27,186,8,1614.72,151.95,141.61,26.74,71.6,147.84
52,93,3,127,3,2804.22,547.05,129.77,44.15,49.64,290.61
53,82,46,117,9,3417.39,132.36,97.09,6.2,30.21,346.51
54,1,23,15,4,1478.78,819.87,276.32,49.14,76.85,479.28
55,89,6,125,4,1652.46,809.96,254.29,50.08,9.63,36.09
56,52,40,31,1,2954.56,390.9,289.36,6.05,55.63,368.32
57,17,23,184,8,4038.2,421.82,33.87,42.7,11.8,483.22
58,38,19,105,10,2537.46,708.66,44.6,3.18,23.61,283.06
59,33,26,145,5,170.36,546.88,53.69,75.77,72.54,459.06
60,88,49,103,3,3398.18,530.98,86.19,48.14,83.24,330.02
61,67,26,114,6,4506.24,121.37,103.85,79.11,88.47,152.44
62,30,34,167,9,2477.35,410.03,78.89,14.52,1.57,125.36
63,98,23,44,3,1449.08,567.65,26.66,95.46,51.73,126.06
64,90,37,11,7,1598.01,644.22,232.23,94.75,35.41,145.3
65,37,12,20,2,2624.31,428.17,67.79,70.97,51.71,239.85
66,75,9,196,10,505.53,565.97,159.13,42.71,42.91,437.34
67,39,23,38,2,1088.66,646.89,278.63,29.08,77.12,146.77
68,4,25,31,5,1301.37,999.74,204.83,76.18,57.16,39.28
69,18,18,161,6,3162.47,451.19,103.75,0.85,49.58,181.96
70,7,49,114,9,589.54,770.16,80.13,31.87,94.17,479.54
71,75,46,45,6,2226.51,387.37,76.85,97.97,45.75,186.97
72,64,50,181,3,280.41,51.85,283.72,13.4,56.05,410.4
73,14,27,26,7,1631.77,92.7,171.11,40.5,52.15,98.01
74,78,36,181,4,3068.63,272.42,83.43,99.34,36.73,385.72
75,43,27,80,8,2013.58,972.67,191.35,56.29,34.14,173.27
76,41,5,91,10,357.77,814.93,196.44,75.74,56.93,364.11
77,17,25,152,9,607.36,839.4,116.6,97.96,41.89,126.73
78,77,42,149,4,605.55,207.23,136.71,20.0,44.31,475.77
79,26,32,83,1,640.78,82.89,13.89,90.42,66.81,130.89
80,80,6,69,5,321.04,178.38,180.93,38.37,93.54,150.17
81,24,2,167,1,3323.16,531.82,19.65,61.99,63.02,241.34
82,76,11,29,2,3013.81,535.36,269.52,40.2,93.18,35.17
83,42,37,76,7,2344.95,552.9,114.52,86.47,57.2,467.82
84,99,46,70,8,1946.9,984.25,277.74,60.85,40.2,184.55
85,67,22,195,1,2988.29,473.6,34.29,36.7,86.18,325.62
86,67,48,196,2,4998.22,331.49,134.24,15.74,72.16,312.23
87,47,10,7,1,1185.85,833.32,263.01,67.6,81.86,474.28
88,73,8,64,9,1489.04,344.99,212.15,62.65,75.29,47.33
89,84,19,74,6,1798.38,474.82,174.87,77.54,13.06,425.36
90,71,16,52,5,1648.83,209.01,139.8,26.33,69.96,108.93
91,69,1,196,6,407.98,208.53,265.41,21.33,94.4,386.99
92,63,34,146,3,839.17,269.41,179.03,95.63,32.72,250.52
93,91,1,24,9,1901.11,640.49,80.93,71.82,98.68,372.74
94,64,21,123,4,3299.88,739.74,110.73,49.47,9.29,318.79
95,19,39,91,3,4361.98,721.12,84.61,49.9,2.44,42.81
96,51,29,48,2,151.25,872.45,119.22,55.52,58.3,59.52
97,69,34,158,8,1651.36,115.42,206.15,39.94,46.35,380.42
98,48,27,58,10,557.9,827.16,271.1,97.78,96.18,131.87
99,13,22,87,10,1738.81,612.52,34.72,82.82,30.18,136.76
100,97,19,54,8,3301.48,414.15,51.43,17.76,76.25,248.67
101,14,21,115,3,537.19,826.18,174.16,44.47,52.75,139.98
102,50,36,135,5,4571.8,671.12,258.35,4.19,20.87,131.53
103,5,6,15,4,2718.7,690.56,259.24,44.29,22.05,163.0
104,11,46,76,9,3277.57,414.92,43.7,93.67,21.52,176.23
105,100,33,190,4,3158.37,116.42,268.65,16.48,22.51,183.5
106,53,16,178,1,2566.01,416.25,231.4,46.1,82.94,49.47
107,58,43,81,9,3614.37,886.28,112.15,5.17,80.01,109.24
108,100,1,186,4,4556.4,535.08,15.74,85.99,78.45,203.3
109,26,33,68,5,3464.55,843.39,48.9,73.14,9.05,282.91
110,86,10,12,4,3131.88,612.7,270.75,93.35,99.27,235.22
111,78,1,41,3,3734.47,530.1,62.59,76.16,34.49,339.49
112,87,29,66,9,1448.57,924.58,162.41,52.97,3.59,140.97
113,55,5,118,1,3182.18,115.86,73.68,0.8,25.46,497.39
114,6,22,27,10,4519.51,795.4,257.8,81.14,74.11,457.16
115,5,1,165,10,2464.12,94.79,204.7,74.98,48.23,145.81
116,87,26,105,7,2091.87,822.51,199.32,84.04,88.93,42.28
117,96,48,31,2,4467.32,952.15,63.87,17.64,9.46,21.39
118,46,6,108,8,3756.37,935.05,294.63,14.03,44.37,290.64
119,76,8,123,7,1922.66,941.46,28.13,36.63,98.25,159.73
120,85,6,57,8,2447.4,708.95,250.72,75.49,63.19,179.61
121,95,13,199,2,2726.21,81.0,272.92,51.8,88.79,437.24
122,94,20,179,3,965.45,169.87,139.37,65.98,67.96,383.35
123,14,6,22,6,4094.8,843.67,91.39,29.96,28.09,430.2
124,18,44,152,3,4346.74,286.3,24.89,99.37,17.19,171.7
125,47,38,89,3,3472.26,280.4,200.77,19.92,10.57,365.09
126,6,47,186,3,4869.47,447.13,19.99,5.05,93.56,206.63
127,92,35,170,6,2380.6,718.27,297.76,12.47,33.39,296.71
128,65,7,190,6,4748.0,112.77,120.17,27.28,16.72,290.38
129,93,32,163,1,3024.04,105.93,38.21,1.29,82.57,476.88
130,65,16,42,2,2296.37,479.41,28.7,22.65,47.09,48.05
131,30,13,165,2,2144.12,253.77,12.88,91.42,59.97,493.67
132,11,6,5,4,3543.81,389.66,48.88,90.23,34.12,483.32
133,47,25,130,8,4024.28,690.76,286.37,68.39,96.27,412.94
134,100,7,86,1,4004.63,261.68,148.7,67.8,33.55,104.08
135,94,21,60,9,1792.86,566.8,282.32,73.55,28.87,312.1
136,59,7,156,4,802.1,805.73,21.2,70.19,43.56,173.67
137,47,21,64,8,1448.29,74.33,150.89,90.44,2.16,478.6
138,79,15,155,1,1239.52,96.9,132.4,43.93,89.87,476.07
139,2,28,58,6,1166.53,290.16,82.99,83.11,27.32,293.9
140,17,14,130,7,1210.0,858.53,202.45,44.65,2.58,359.23
141,14,42,122,2,2783.64,861.73,130.09,25.65,1.9,259.37
142,90,35,93,4,1379.58,935.56,264.55,25.84,19.45,210.84
143,79,15,181,10,1141.43,193.74,234.34,75.46,45.1,192.95
144,70,30,112,4,4145.21,646.6,220.08,63.26,69.4,24.88
145,36,39,110,5,3437.36,896.44,116.34,33.18,56.63,327.1
146,15,32,83,4,2232.18,209.43,163.42,24.24,29.99,22.12
147,1,18,127,3,3132.16,975.22,21.55,86.17,96.72,373.84
148,67,35,26,9,1827.52,161.49,68.45,0.75,7.06,264.82
149,25,2,24,8,2492.61,252.4,279.29,55.29,24.84,361.64
150,23,32,134,3,3330.14,422.07,15.8,65.44,22.34,157.49
151,11,50,127,6,942.85,335.39,156.09,9.47,13.08,156.13
152,52,23,192,3,2488.3,985.9,200.32,58.55,28.77,485.89
153,1,42,71,5,1389.99,552.66,60.17,24.04,67.04,216.03
154,42,7,30,4,4725.54,607.33,238.08,2.86,23.14,237.51
155,2,16,46,9,4509.08,326.44,283.65,60.54,53.51,216.74
156,76,26,131,10,1699.2,454.52,166.55,65.81,2.39,265.16
157,33,50,72,7,397.35,722.94,66.71,12.05,76.48,344.2
158,79,26,114,1,1053.8,602.53,290.75,47.57,91.72,92.8
159,33,11,161,6,585.59,845.3,97.56,51.17,53.36,131.57
160,7,20,148,6,3163.86,977.91,218.59,13.87,29.21,375.43
161,81,43,177,10,1457.51,403.02,105.48,25.69,66.26,288.66
162,3,19,1,4,3221.56,874.27,220.84,35.92,77.04,240.73
163,53,35,101,6,1934.75,821.68,152.46,2.4,77.73,161.12
164,42,8,99,9,3434.54,364.32,34.69,71.74,80.68,58.66
165,54,13,131,9,2623.43,827.27,63.46,78.38,31.12,160.68
166,57,29,150,3,3055.47,683.97,17.29,29.81,16.3,199.43
167,66,45,86,2,821.27,834.54,289.14,82.69,80.64,83.39
168,96,32,148,1,2610.86,492.52,112.75,35.38,71.29,228.81
169,22,50,72,6,4657.4,212.77,208.56,5.05,35.79,399.65
170,37,10,55,1,3534.81,787.88,186.1,76.89,63.5,399.99
171,50,21,129,7,611.6,334.91,185.11,68.99,97.14,151.12
172,39,48,173,10,281.72,984.93,96.21,62.6,39.33,363.97
173,99,40,144,7,1327.4,556.56,55.19,29.94,94.39,297.87
174,14,29,133,3,3248.32,640.63,179.51,89.4,71.84,441.7
175,3,10,64,2,2775.36,887.34,141.99,72.29,65.19,114.24
176,38,38,195,2,316.56,967.06,58.57,64.81,12.41,150.11
177,69,38,167,9,1717.77,552.8,208.06,84.5,93.95,76.7
178,35,35,180,4,4403.28,563.91,203.58,60.37,6.13,477.22
179,84,46,3,4,1196.0,258.44,64.63,71.79,22.53,430.15
180,91,5,87,10,609.93,521.84,78.62,52.68,46.13,103.55
181,58,34,183,4,1172.24,328.82,101.02,64.12,81.05,91.74
182,83,46,189,8,648.78,632.68,145.67,82.56,44.77,231.88
183,1,26,6,2,2246.1,75.16,252.71,90.38,38.31,25.23
184,5,21,43,4,2976.87,832.38,293.81,14.88,71.04,158.36
185,19,12,99,1,2847.95,524.81,84.74,57.17,5.54,480.98
186,83,12,34,2,4906.77,416.7,201.53,49.24,70.22,95.47
187,33,26,24,5,2964.73,687.3,72.96,98.25,41.61,493.2
188,38,7,137,9,3032.85,139.03,87.93,96.76,67.17,75.8
189,52,4,198,5,3034.16,592.9,72.02,77.99,31.62,263.86
190,50,37,126,8,4964.83,938.88,108.86,43.06,49.08,435.35
191,92,17,39,7,738.85,435.5,135.06,1.56,11.16,277.8
192,41,31,137,9,2374.67,155.86,238.87,71.63,62.62,228.34
193,96,45,71,1,311.29,983.12,16.49,84.51,63.6,188.31
194,11,37,104,10,2796.82,61.65,174.92,37.11,16.65,316.17
195,15,9,152,8,3262.03,622.4,39.97,96.65,51.13,201.51
196,12,28,13,10,1095.49,679.09,284.48,3.57,12.23,289.55
