Logistique_id,Date_id,Fournisseur_id,Equipement_id,Nb_demandes_traitees,Délai_traitement_incident,Délai_de_livraison,Taux_satisfaction_interne,Taux_digitalisation_processus
1,28,17,25,20,4,14,67.84,70.39
2,81,8,7,35,2,13,94.66,59.94
3,38,4,86,76,4,20,64.6,82.88
4,43,5,86,79,6,13,82.28,61.56
5,2,36,2,89,13,16,78.62,79.42
6,7,10,25,65,9,22,75.29,81.59
7,97,33,48,54,3,25,79.4,54.93
8,37,16,89,77,2,23,63.05,48.62
9,99,41,79,83,8,9,65.61,44.69
10,60,37,76,88,12,7,81.85,55.28
11,29,33,29,43,6,17,65.92,89.65
12,59,45,56,29,12,18,94.9,44.65
13,18,31,86,67,10,21,86.14,54.65
14,35,3,55,48,7,17,68.92,85.91
15,20,31,24,64,9,25,71.44,66.06
16,100,48,94,1,7,1,98.62,70.25
17,81,37,70,0,5,10,95.93,54.61
18,16,19,33,91,1,24,74.4,61.21
19,29,33,26,22,14,2,64.75,47.54
20,28,32,13,36,7,10,81.09,61.7
21,65,37,15,24,7,13,97.69,88.4
22,55,19,57,15,5,11,67.7,71.71
23,53,12,70,84,7,9,66.93,73.34
24,50,29,31,31,3,12,97.73,71.72
25,96,3,76,44,5,25,76.99,95.14
26,98,44,58,2,10,9,89.0,56.61
27,32,40,15,60,15,7,88.46,64.24
28,78,19,55,99,15,19,82.85,73.48
29,32,28,9,69,9,17,82.29,79.05
30,87,46,23,36,13,19,70.45,86.34
31,16,39,90,67,3,19,80.12,98.18
32,10,7,33,15,9,24,85.5,94.03
33,33,9,20,13,8,28,95.88,50.23
34,87,28,94,91,12,11,65.69,65.88
35,57,1,43,58,13,22,81.91,78.78
36,63,18,10,69,7,29,71.38,40.38
37,82,18,63,17,8,6,71.26,85.31
38,64,8,39,32,14,3,83.22,75.18
39,71,25,5,24,1,21,65.36,72.19
40,83,5,88,2,13,7,73.9,52.34
41,8,47,92,69,14,26,60.63,52.98
42,31,33,6,29,1,9,80.11,51.88
43,3,30,8,16,13,23,96.82,71.66
44,6,38,52,67,1,27,96.59,77.25
45,8,26,26,67,12,8,63.91,94.81
46,38,44,9,41,4,27,93.21,82.69
47,41,5,85,21,14,18,95.54,75.78
48,15,7,80,65,9,1,95.69,81.56
49,87,39,88,85,15,28,62.01,89.72
50,85,31,37,29,13,26,70.24,70.91
51,28,32,50,14,7,23,74.05,56.77
52,61,22,46,1,15,14,70.11,74.87
53,100,43,40,34,11,10,67.04,87.54
54,4,8,86,64,10,6,75.31,98.24
55,88,9,31,28,14,30,92.45,73.43
56,13,6,18,42,12,28,97.65,51.02
57,24,48,56,28,3,8,74.99,81.22
58,94,24,26,86,6,12,98.97,49.73
59,2,15,13,14,13,8,64.75,58.79
