Production_id,Date_id,Journaliste_id,Media_id,Thematique_id,NB_Depeches_publiées,NB_articles_multilingues,Taux_respect_délais,Nb_photos_vidéos_produites,Taux_publication_conjointe,Nb_erreurs_corrigées,Nb_relecture
1,9,12,5,6,8,3,81.55,4,0.29,3,1
2,68,8,10,7,6,5,67.67,4,0.7,0,5
3,78,8,10,3,10,2,80.21,7,0.92,1,0
4,71,20,4,13,1,2,85.62,5,0.07,1,0
5,57,12,8,3,4,0,63.55,7,0.3,3,5
6,98,15,4,14,3,4,96.66,5,0.05,0,4
7,74,10,2,14,10,0,77.75,2,0.04,3,3
8,21,14,6,13,5,4,84.81,5,0.74,3,1
9,6,16,7,11,2,5,67.23,0,0.58,2,4
10,46,5,4,5,8,4,62.74,1,0.12,1,4
11,90,9,6,14,4,4,92.48,5,0.37,3,5
12,10,13,10,3,4,5,86.22,2,0.44,2,1
13,16,9,10,9,4,1,75.63,2,0.89,2,1
14,12,13,8,8,9,1,96.96,2,0.52,2,1
15,37,12,3,13,7,1,66.37,0,0.98,0,4
16,18,9,9,7,9,0,62.81,3,0.11,2,5
17,54,20,4,9,7,3,97.3,4,0.11,0,4
18,89,14,6,12,10,0,65.82,6,0.53,3,5
19,38,3,6,9,3,1,71.53,7,0.57,0,1
20,55,11,7,2,4,1,91.24,8,0.32,0,2
21,49,14,5,10,3,3,76.12,5,0.89,3,2
22,90,6,7,16,2,4,94.96,2,0.41,1,4
23,47,3,4,12,5,1,84.99,5,0.27,3,3
24,73,11,5,5,7,3,79.44,7,0.68,2,5
25,94,6,10,10,4,3,98.99,4,0.96,3,0
26,35,15,9,7,2,5,93.33,3,0.03,1,0
27,36,3,11,11,8,4,93.82,0,0.87,0,4
28,15,10,10,10,6,0,91.48,0,0.26,0,2
29,42,6,8,12,8,2,86.39,5,0.92,1,0
30,98,15,2,12,1,3,80.13,3,0.87,0,4
31,28,9,7,4,4,5,95.54,3,0.66,1,2
32,97,1,8,5,3,4,77.04,0,0.88,1,2
33,65,16,4,4,4,5,94.61,6,0.04,3,2
34,99,5,7,3,10,1,99.95,3,0.89,1,2
35,20,5,10,16,9,1,91.17,2,0.85,0,0
36,42,17,2,2,10,4,83.8,6,0.55,0,3
37,33,15,9,14,6,1,97.9,2,0.44,1,4
38,86,13,8,14,6,4,88.97,5,0.07,3,1
39,41,4,7,11,2,5,78.44,4,0.51,2,4
40,98,12,6,11,7,4,65.89,6,0.16,3,2
41,80,14,6,10,2,1,63.58,0,0.45,2,4
42,97,9,2,12,10,5,78.68,0,0.45,2,5
43,59,14,8,8,4,4,91.42,3,0.47,3,1
44,78,15,7,5,6,2,88.1,4,0.42,1,5
45,91,20,4,10,5,3,85.28,7,0.49,0,0
46,63,11,2,12,5,3,81.48,4,0.76,0,3
47,14,14,7,6,5,5,80.32,6,0.03,3,2
48,54,2,7,16,1,2,62.86,7,0.31,3,4
49,11,4,10,4,4,1,87.78,5,0.48,2,3
50,59,2,10,16,8,2,99.14,3,0.95,1,3
51,48,8,2,10,4,1,86.61,5,0.93,0,0
52,51,14,9,8,9,4,78.12,3,0.07,1,1
53,14,12,11,10,5,1,85.42,7,0.74,1,4
54,69,13,11,10,5,2,88.79,1,0.16,2,4
55,77,7,8,3,9,3,88.48,6,0.77,2,0
56,77,9,8,8,3,2,61.44,1,0.05,3,0
57,8,8,7,16,1,0,76.51,5,0.47,3,0
58,97,16,6,8,6,5,74.05,5,0.84,3,2
59,32,4,8,4,1,5,98.21,4,0.85,3,1
60,66,20,9,7,9,5,75.64,8,0.31,0,1
61,84,3,8,11,3,1,93.44,3,0.9,3,0
62,12,9,5,7,10,4,83.5,6,0.82,2,3
63,46,9,9,11,5,3,86.24,2,0.7,3,3
64,84,9,3,6,7,5,69.92,8,0.61,0,1
65,3,12,11,5,5,4,79.7,5,0.31,0,2
66,54,6,7,13,3,5,83.69,2,0.28,1,3
67,15,2,7,4,10,1,87.92,4,0.66,1,0
68,52,15,11,11,6,2,99.03,2,0.23,3,5
69,25,12,4,4,5,2,79.92,4,0.72,3,5
70,73,20,6,11,3,1,81.53,2,0.62,1,4
71,9,19,3,2,10,2,74.72,5,0.15,3,1
72,51,7,8,11,7,0,95.15,0,0.12,0,5
73,27,3,7,4,8,1,69.21,2,0.74,1,4
74,90,1,6,14,7,1,97.59,6,0.62,3,5
75,78,3,7,8,10,4,92.59,3,0.36,0,2
76,8,5,10,3,6,5,81.0,3,0.7,2,1
77,14,16,7,9,8,5,90.67,5,0.99,2,0
78,46,3,10,12,7,0,82.33,7,0.15,1,2
79,71,4,10,5,6,5,82.26,8,0.76,3,0
80,13,4,9,2,3,3,76.9,0,0.7,1,0
81,8,19,6,14,7,5,73.23,0,0.77,1,1
82,6,16,10,16,2,4,95.51,3,0.69,2,1
83,86,1,4,4,4,3,79.86,5,0.06,1,2
84,79,9,8,11,7,0,69.49,1,0.05,3,3
85,58,18,11,12,10,1,89.32,4,0.31,0,3
86,5,19,10,12,9,3,60.79,8,0.39,0,5
87,38,9,3,15,10,1,81.23,3,0.77,3,4
88,56,19,7,7,7,3,86.83,0,0.5,0,5
89,50,18,8,5,1,2,90.88,7,0.37,1,3
90,44,20,10,2,1,5,92.48,1,0.66,1,3
91,60,17,10,13,7,2,92.95,6,0.27,3,3
92,75,17,3,6,10,3,85.92,1,0.61,1,1
93,29,13,7,6,7,5,84.55,1,1.0,3,1
94,87,2,3,5,4,4,83.61,5,0.03,1,2
95,88,11,6,13,2,2,83.45,1,0.83,1,2
96,14,15,10,6,9,4,86.42,7,0.95,2,5
97,9,15,6,9,8,0,95.56,5,0.46,2,3
98,58,16,4,11,4,0,99.47,2,0.7,2,3
99,47,7,7,3,3,3,74.83,8,0.73,1,1
100,22,13,11,16,8,2,63.26,2,0.53,0,4
101,5,5,11,8,9,3,72.08,3,0.82,3,5
102,7,4,5,16,9,0,93.49,0,0.94,3,2
103,3,16,10,3,10,3,98.63,2,0.97,2,3
104,8,16,5,15,10,0,77.85,0,0.18,0,3
105,94,4,10,12,3,0,92.63,3,0.22,2,4
106,22,5,3,7,2,0,95.33,5,0.93,2,3
107,82,9,8,14,8,4,85.18,0,0.34,0,4
108,6,8,10,15,9,1,90.79,8,0.21,3,1
109,21,5,8,13,6,1,61.29,2,0.26,1,1
110,29,8,7,11,2,5,97.26,3,0.75,2,1
111,12,9,3,2,5,3,74.6,7,0.74,1,2
112,99,4,6,9,5,3,60.82,6,0.08,3,2
113,98,14,8,13,2,2,93.35,1,0.13,2,2
114,35,1,2,3,3,5,76.04,2,0.34,3,5
115,52,2,4,3,8,0,93.99,7,0.67,3,3
116,7,13,9,4,1,5,65.38,5,0.1,3,0
117,54,12,3,13,9,1,78.08,8,0.33,2,1
118,3,4,8,3,6,5,63.58,1,0.35,3,5
119,69,18,6,5,9,2,89.73,1,0.65,3,4
120,6,3,7,15,3,2,65.37,2,0.37,1,0
121,7,20,8,11,6,2,94.18,3,0.5,2,4
122,97,1,5,7,8,1,77.04,5,0.34,2,5
123,1,15,8,6,3,2,66.22,5,0.96,0,4
124,29,17,6,11,2,0,85.08,2,0.33,2,4
125,35,17,7,11,5,2,63.67,2,0.07,2,4
126,10,2,9,4,10,4,93.29,2,0.74,1,3
127,76,3,2,7,6,3,99.86,6,0.36,1,1
128,62,9,2,10,6,5,86.41,8,0.7,1,3
129,17,3,11,7,8,2,61.44,2,0.11,3,2
130,53,19,10,4,6,4,99.11,5,0.97,3,2
131,91,6,11,15,3,3,80.0,6,0.1,3,1
132,37,15,4,12,7,2,60.37,1,0.33,3,1
133,27,9,2,3,9,4,62.13,5,0.01,2,0
134,44,4,10,8,7,2,92.57,2,0.28,3,2
135,64,18,2,16,8,2,97.77,0,0.57,1,5
136,6,13,6,2,9,1,81.91,0,0.36,3,5
137,23,20,3,3,4,0,79.22,3,0.59,2,1
