Veille_id,Date_id,Source_id,Projet_id,type_veille_id,Nb_alerte,Nb_source_pertinente,Nb_verification_fact_checking,Nb_rapport_produit,NB_production_enrichie,Score_Fiabilité,Tendance_detectée,Taux_bruit
1,30,31,43,3,41,12,10,4,2,75.86,Stable,17.83
2,46,44,68,14,9,7,10,7,7,60.82,Croissance,13.46
3,44,26,20,16,28,4,10,9,0,68.34,Déclin,26.24
4,11,43,3,11,22,4,11,7,6,81.88,Incertitude,4.7
5,14,6,45,19,17,6,9,5,8,87.76,Croissance,12.57
6,64,21,21,14,29,13,10,9,6,63.35,Transformation,6.3
7,55,22,16,11,6,7,13,2,7,89.51,Stable,22.44
8,71,49,22,3,18,20,14,10,2,87.44,Stable,18.26
9,8,20,66,8,17,14,9,9,0,85.52,Stable,17.34
10,87,50,95,19,20,10,8,6,7,95.25,Incertitude,19.95
11,64,25,55,15,3,18,3,6,1,66.71,Incertitude,16.5
12,26,25,24,14,20,7,7,4,3,75.98,Transformation,27.03
13,35,21,79,8,16,8,8,2,6,66.0,Transformation,26.72
14,92,29,49,12,17,3,2,2,0,84.41,Déclin,29.03
15,92,49,19,2,9,18,9,8,1,75.91,Transformation,8.06
16,42,22,97,5,41,9,4,4,0,66.61,Stable,29.87
17,93,5,8,18,38,8,3,5,7,67.53,Transformation,5.15
18,52,17,26,15,19,12,9,7,3,98.65,Transformation,4.58
19,39,44,62,10,12,12,4,1,8,96.08,Stable,14.85
20,80,40,90,1,39,11,10,5,7,82.87,Transformation,22.51
21,86,7,7,19,20,14,7,3,1,85.31,Croissance,13.33
22,10,30,68,19,12,3,2,5,8,92.44,Transformation,23.21
23,11,39,52,12,13,11,11,4,1,75.22,Incertitude,21.3
24,95,1,16,18,43,11,14,4,1,98.95,Déclin,14.92
25,96,16,2,9,25,5,15,3,2,72.19,Croissance,26.09
26,25,1,46,19,24,9,6,6,6,89.97,Transformation,27.57
27,40,44,1,8,45,9,7,6,8,63.55,Déclin,28.68
28,91,48,3,15,24,10,9,4,5,62.98,Transformation,4.05
29,71,4,70,20,43,7,10,7,3,62.02,Transformation,6.81
30,23,32,36,18,49,14,10,7,8,83.66,Stable,25.13
31,93,2,37,1,9,12,11,6,8,96.94,Transformation,5.7
32,55,25,36,16,2,13,9,2,0,78.17,Transformation,5.04
33,77,44,49,7,1,5,10,9,3,68.85,Stable,26.11
34,81,3,7,14,35,16,9,9,4,91.36,Stable,26.22
35,37,32,1,19,8,17,2,5,0,81.39,Déclin,4.72
36,76,38,41,18,6,6,5,3,6,95.85,Déclin,22.92
37,53,8,19,14,8,12,6,8,7,96.51,Déclin,21.28
38,77,4,19,17,33,13,5,5,5,67.52,Déclin,0.16
39,17,26,74,6,42,10,3,7,1,78.17,Transformation,12.45
40,88,24,52,9,9,20,13,7,4,67.44,Incertitude,13.5
41,77,45,8,16,9,12,4,6,7,95.97,Déclin,13.25
42,48,10,17,5,13,4,4,6,4,96.31,Incertitude,12.8
43,90,25,16,3,3,18,9,5,2,91.67,Stable,3.61
44,86,27,77,13,19,1,10,7,0,93.83,Transformation,23.27
45,55,9,73,12,32,16,3,2,1,89.63,Stable,2.26
46,64,44,57,2,46,8,1,0,6,71.33,Déclin,13.09
47,36,38,82,3,49,12,4,7,6,93.8,Croissance,25.0
48,18,45,44,12,14,10,14,6,0,79.71,Transformation,5.41
49,49,29,58,12,40,10,7,8,4,80.81,Croissance,2.73
50,39,9,16,11,48,10,9,7,1,61.25,Déclin,2.42
51,14,45,83,16,40,14,0,1,1,81.7,Croissance,3.65
52,98,38,8,20,40,18,12,10,4,64.83,Croissance,8.07
53,1,9,65,8,20,2,13,4,2,90.8,Incertitude,8.7
54,58,8,67,18,29,16,14,10,8,89.01,Stable,16.24
55,70,3,90,8,31,2,11,6,3,65.37,Déclin,17.2
56,52,8,78,17,46,3,10,7,5,71.11,Stable,25.36
57,44,1,86,7,8,18,15,3,4,86.52,Incertitude,16.6
58,31,21,43,10,7,1,1,5,7,68.69,Incertitude,19.29
59,41,6,22,4,2,16,5,3,3,72.39,Transformation,9.72
60,27,12,48,7,20,18,0,5,5,71.5,Déclin,21.79
61,82,16,1,6,16,19,10,6,0,65.31,Transformation,13.33
62,46,24,86,10,46,11,13,7,2,78.8,Transformation,22.59
63,9,10,96,8,40,5,5,7,3,73.6,Croissance,6.61
64,34,26,29,15,29,12,13,4,6,86.08,Transformation,29.16
65,35,30,44,3,32,13,14,5,1,67.86,Déclin,15.01
66,35,38,3,9,8,4,13,3,2,60.36,Croissance,10.01
67,75,13,40,3,28,13,3,6,8,78.53,Stable,22.68
68,23,23,2,12,10,14,2,5,3,82.33,Incertitude,13.85
69,44,5,99,13,40,16,8,0,1,84.09,Croissance,18.92
70,21,45,40,11,39,18,11,6,8,71.61,Croissance,7.03
71,30,33,44,7,10,14,9,6,6,98.03,Stable,10.92
72,10,26,71,3,43,16,3,4,0,81.3,Incertitude,8.28
73,79,12,6,5,16,16,14,6,0,96.02,Incertitude,14.75
74,19,25,84,20,49,14,3,7,2,67.81,Déclin,25.95
75,9,6,39,1,31,13,9,8,0,67.32,Croissance,8.6
76,99,24,5,19,41,1,1,8,0,90.69,Déclin,10.28
77,89,44,79,3,29,20,2,9,6,68.21,Stable,25.53
78,97,27,89,19,37,10,10,4,6,79.32,Transformation,16.88
79,69,21,18,12,19,10,1,4,7,91.01,Déclin,1.68
80,68,13,59,2,1,19,0,1,6,75.98,Transformation,4.66
81,42,11,30,15,2,4,12,2,5,69.96,Transformation,11.16
82,17,1,38,16,23,10,12,5,7,67.36,Incertitude,22.96
83,95,19,9,13,9,3,5,3,0,91.57,Croissance,26.07
84,96,42,82,14,17,8,12,2,4,66.31,Déclin,20.74
85,65,31,20,19,22,13,14,3,5,78.76,Transformation,6.32
86,19,12,42,3,40,14,3,5,6,70.86,Déclin,6.95
87,52,30,51,1,8,2,13,6,0,76.0,Incertitude,23.76
88,93,28,26,17,2,17,11,1,8,87.32,Déclin,2.07
89,87,22,66,17,27,3,11,2,5,83.87,Transformation,26.24
90,72,16,13,19,16,3,3,9,7,70.45,Transformation,16.17
91,64,25,9,15,14,3,5,0,5,63.72,Transformation,1.05
92,91,12,67,5,21,5,2,2,8,90.93,Incertitude,5.84
93,98,25,90,7,4,14,5,7,2,77.38,Croissance,6.29
94,79,30,14,14,18,9,12,8,5,62.2,Stable,2.77
95,10,42,32,2,10,1,0,8,8,91.98,Stable,9.7
96,96,10,55,15,20,19,1,0,0,93.3,Croissance,3.85
97,80,43,70,15,35,9,10,0,2,62.79,Stable,19.25
98,74,29,37,18,12,17,0,1,4,61.82,Stable,13.75
99,2,46,25,17,16,6,14,4,7,74.4,Stable,13.28
100,71,38,94,15,31,1,11,6,5,80.52,Déclin,23.37
101,24,8,20,1,45,5,2,5,4,62.62,Transformation,11.33
102,68,14,19,15,10,15,11,3,0,61.98,Croissance,29.07
103,86,8,24,4,10,8,14,10,3,88.1,Stable,17.87
104,83,16,28,14,37,7,4,1,8,79.64,Transformation,21.81
105,43,19,26,20,48,6,8,9,2,64.94,Stable,20.78
106,70,10,36,17,30,15,0,3,2,67.33,Déclin,10.68
107,81,36,76,17,32,17,5,0,5,78.14,Transformation,24.7
108,96,50,71,9,42,20,2,6,0,81.62,Incertitude,2.69
109,15,28,2,15,30,7,9,0,6,88.72,Incertitude,19.55
110,28,24,70,4,34,5,7,10,3,82.47,Stable,6.99
111,91,10,82,7,31,11,10,8,4,67.69,Croissance,28.68
112,11,23,31,11,34,19,15,9,7,79.05,Croissance,9.42
113,79,6,33,2,50,19,3,2,7,93.41,Déclin,27.12
114,99,17,92,18,43,5,14,10,8,79.91,Croissance,24.21
115,63,14,76,13,32,3,7,8,4,75.7,Incertitude,2.93
116,96,27,46,14,19,7,2,9,6,85.55,Stable,1.11
